run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
135,mlp_only,2,128,8,0.09904593218326568,0.10439389291286469,0.06555541053056717,8,77870
170,mlp_only,6,256,4,0.0994482867884636,0.10344990548372268,0.022322077632546424,7,157490
75,linear_then_conv,2,256,8,0.10180817912817001,0.10926106231927872,0.06036328024506569,7,251283
162,mlp_only,6,64,4,0.1025401101732254,0.10524028620958328,0.036153851563930514,16,39602
90,linear_then_conv,4,256,4,0.10262077786684036,0.10651892117261887,0.023143285940885543,7,252309
182,mlp_only,8,128,4,0.10335377711772918,0.10369919078350068,0.024275375230312347,9,79412
190,mlp_only,8,512,4,0.1037117926979065,0.10567285664319992,0.010356000479757786,10,316724
178,mlp_only,8,64,4,0.10426239941120148,0.10458736524820328,0.037968925665616986,10,39860
158,mlp_only,4,512,4,0.1054132576417923,0.11425575971364975,0.02240167666375637,9,312624
154,mlp_only,4,256,4,0.10623419055938721,0.1097004594540596,0.028234553419351577,10,156464
38,conv_then_linear,6,128,4,0.10674660130262374,0.11334661134004594,0.03355874174952507,7,87471
150,mlp_only,4,128,4,0.10730284688711167,0.1134858029794693,0.0424003315281868,9,78384
26,conv_then_linear,4,256,4,0.10805136356115341,0.11331475110292434,0.025303464928269386,10,344149
22,conv_then_linear,4,128,4,0.1080758361172676,0.12181538744211197,0.04014417918801308,7,86957
11,conv_then_linear,2,256,8,0.11071671952009202,0.1311623282623291,0.063875187125206,5,343123
58,conv_then_linear,8,256,4,0.11072357184410095,0.11368995479106903,0.016374554702341556,8,346201
30,conv_then_linear,4,512,4,0.11289950988054276,0.1245217238497734,0.017963035920858385,5,1369253
86,linear_then_conv,4,128,4,0.113256567029953,0.12624122116565703,0.04028357940673828,6,83149
18,conv_then_linear,4,64,4,0.11370220138311386,0.11557858511209487,0.04284430639863014,8,45357
15,conv_then_linear,2,512,8,0.11524506779670715,0.12443907282590866,0.04895363881587982,7,1367203
94,linear_then_conv,4,512,4,0.11574668011188508,0.1306190583372116,0.01864598910868168,5,848677
102,linear_then_conv,6,128,4,0.11874263154268265,0.1223327272772789,0.040546322157382964,7,83663
67,linear_then_conv,2,64,8,0.11964026751756668,0.12622912229061126,0.06561268429040909,7,42571
7,conv_then_linear,2,128,8,0.1219475144147873,0.12568987164497375,0.06529608253240585,9,86443
146,mlp_only,4,64,4,0.12316036728143692,0.1268203374505043,0.05385281975865364,9,39344
106,linear_then_conv,6,256,4,0.12708891083717347,0.13243098400592804,0.02120253760755062,10,253335
82,linear_then_conv,4,64,4,0.1300312047958374,0.1462279596757889,0.04710595021486282,11,42829
3,conv_then_linear,2,64,8,0.13104321352958678,0.15859558713912963,0.07937150175333023,6,45099
79,linear_then_conv,2,512,8,0.15149585515499114,0.16116236703395845,0.0534851970410347,7,846627
131,mlp_only,2,64,8,0.1550263283109665,0.16644673307418822,0.08419945717573166,8,39086
144,mlp_only,2,512,16,0.15542675528526306,0.1591979220533371,0.039784526447057725,16,310574
71,linear_then_conv,2,128,8,0.16496136061668396,0.16728723579406737,0.06723615729570388,13,82635
140,mlp_only,2,256,16,0.17539044008255006,0.17551580472946168,0.05133179396033287,11,155438
98,linear_then_conv,6,64,4,0.18362469094753264,0.1961473854446411,0.06213331892848015,5,43087
